Country;ETR Rank;ETR Score;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burundi;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Republic of the Congo;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenya;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malawi;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niger;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Somalia;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Sudan;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chad;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uganda;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yemen;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benin;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameroon;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Democratic Republic of the Congo;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Gambia;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea-Bissau;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namibia;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;13;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopia;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haiti;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iraq;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madagascar;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauritania;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rwanda;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sudan;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Senegal;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sierra Leone;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S∆o TomÇ and Pr°ncipe;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanzania;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambia;23;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d' Ivoire;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cape Verde;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cambodia;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laos;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lesotho;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mali;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippines;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solomon Islands;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syria;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Togo;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tajikistan;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timor-Leste;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venezuela;37;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
