Country;iso3c;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Afghanistan;AFG;3.382;3.422;3.221;3.206;3.208;3.252;3.252;3.252;3.466;3.596;3.641;3.641;3.641;3.641;3.65
Albania;ALB;1.241;1.241;1.241;1.238;1.238;1.239;1.236;1.223;1.227;1.223;1.219;1.212;1.41;1.403;1.403
Algeria;DZA;2.231;2.286;2.296;2.507;2.287;2.217;2.204;2.223;2.177;2.169;2.164;2.158;2.116;2.088;2.068
Angola;AGO;1.73;1.836;1.837;1.837;1.838;1.73;1.628;1.435;1.42;1.411;1.593;1.639;1.64;1.655;1.666
Argentina;ARG;1.403;1.604;1.604;1.403;1.403;1.604;1.403;1.403;1.403;1.403;1.201;1.201;1.201;1.201;1.201
Armenia;ARM;2.195;2.186;2.169;2.194;2.204;2.221;2.293;2.331;2.279;2.448;2.498;2.354;1.913;2.117;1.99
Australia;AUS;1.047;1.081;1.106;1.168;1.22;1.188;1.1;1.046;1.041;1.036;1.039;1.039;1.097;1.082;1.266
Austria;AUT;1.018;1.018;1.018;1.018;1.022;1.018;1.018;1.018;1.026;1.029;1.029;1.03;1.033;1.034;1.097
Azerbaijan;AZE;2.414;2.36;2.416;2.429;2.428;2.449;2.443;2.45;2.479;2.52;2.55;2.532;2.086;2.259;2.579
Bahrain;BHR;1.403;1.403;1.403;1.805;2.006;2.022;2.029;1.827;2.036;2.071;2.092;2.113;1.941;1.962;1.955
Bangladesh;BGD;1.882;1.869;1.852;1.836;1.75;1.648;1.621;1.831;1.835;1.767;2.124;2.183;2.162;2.157;2.004
Belarus;BLR;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;1.805;2.208;2.208
Belgium;BEL;1.036;1.036;1.045;1.041;1.026;1.022;1.022;1.026;1.04;1.051;1.311;1.318;1.193;1.183;1.141
Benin;BEN;2.208;2.208;2.208;2.208;2.208;2.006;2.006;1.406;1.41;1.418;1.421;1.429;2.036;1.674;1.666
Bhutan;BTN;1.418;1.418;1.418;1.403;1.403;1.403;1.403;1.403;1.403;1.41;1.414;1.421;1.429;1.436;1.436
Bolivia;BOL;1.403;1.604;1.604;1.604;1.604;1.604;1.403;1.403;1.403;1.403;1.403;1.403;1.403;1.403;1.403
Bosnia and Herzegovina;BIH;1.418;1.418;1.418;1.421;1.421;1.421;1.425;1.425;1.428;1.834;1.831;1.831;1.835;1.835;1.835
Botswana;BWA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
