Country;iso3c;Safety and security;Miliratization;OngoingOngoing Conflicts)
Afghanistan;AFG;4.127;2.472;3.65
Albania;ALB;2.12;1.666;1.403
Algeria;DZA;2.302;2.041;2.068
Angola;AGO;2.413;1.706;1.666
Argentina;ARG;2.656;1.611;1.201
Armenia;ARM;1.977;2.041;1.99
Australia;AUS;1.657;1.848;1.266
Austria;AUT;1.452;1.331;1.097
Azerbaijan;AZE;2.528;2.108;2.579
Bahrain;BHR;2.405;1.717;1.955
Bangladesh;BGD;2.438;1.534;2.004
Belarus;BLR;2.526;1.896;2.208
Belgium;BEL;1.806;1.602;1.141
Benin;BEN;2.574;2.022;1.666
Bhutan;BTN;1.601;1.336;1.436
Bolivia;BOL;2.503;1.934;1.403
Bosnia and Herzegovina;BIH;2.044;1.526;1.835
Botswana;BWA;2.441;1.812;1
Brazil;BRA;3.284;1.965;1.853
Bulgaria;BGR;1.929;1.633;1
Burkina Faso;BFA;2.993;2.189;3.023
Burundi;BDI;3.024;1.556;2.443
Cambodia;KHM;2.08;1.933;1.638
Cameroon;CMR;3.014;1.877;2.967
Canada;CAN;1.637;1.465;1.03
Central African Republic;CAF;3.579;2.273;2.874
Chad;TCD;2.903;2.189;2.552
Chile;CHL;2.361;1.585;1.403
China;CHN;2.107;2.022;1.858
Colombia;COL;3.596;2.052;2.099
Costa Rica;CRI;2.229;1.614;1.201
Cote d' Ivoire;CIV;2.764;1.724;1.694
Croatia;HRV;1.564;1.565;1.201
Cuba;CUB;2.614;1.533;1.805
Cyprus;CYP;2.251;1.605;1.604
Czech Republic;CZE;1.566;1.263;1.034
Democratic Republic of the Congo;COD;3.747;1.881;3.413
Denmark;DNK;1.295;1.368;1.242
Djibouti;DJI;2.561;2.14;1.856
Dominican Republic;DOM;2.614;1.72;1.403
Ecuador;ECU;2.509;1.866;1.426
Egypt;EGY;2.503;2.014;2.426
El Salvador;SLV;3.062;1.879;1.436
Equatorial Guinea;GNQ;2.2;1.638;1.604
Eritrea;ERI;3.359;1.914;1.705
Estonia;EST;1.703;1.607;1.638
Eswatini;SWZ;2.576;1.706;1.604
Ethiopia;ETH;2.917;1.809;3.457
Finland;FIN;1.349;1.598;1.436
France;FRA;1.867;2.773;1.305
Gabon;GAB;2.378;1.807;1.604
Georgia;GEO;2.413;1.79;1.805
Germany;DEU;1.619;1.75;1.062
Ghana;GHA;2.026;1.726;1.472
Greece;GRC;1.773;2.036;1.805
Guatemala;GTM;2.819;1.698;1.626
Guinea;GIN;2.587;2.069;2.262
Guinea-Bissau;GNB;2.586;2.218;1.615
Guyana;GUY;2.895;1.551;1.604
Haiti;HTI;2.735;1.74;2.077
Honduras;HND;3.064;1.812;1.604
Hungary;HUN;1.528;1.184;1.421
Iceland;ISL;1.237;1.02;1
India;IND;2.373;2.461;2.982
Indonesia;IDN;2.107;1.496;1.644
Iran;IRN;2.838;2.123;2.923
Iraq;IRQ;3.646;2.298;3.207
Ireland;IRL;1.525;1.259;1.015
Israel;ISR;2.237;3.813;2.167
Italy;ITA;1.927;2.013;1.034
Jamaica;JAM;2.791;1.721;1.201
Japan;JPN;1.283;1.308;1.403
Jordan;JOR;2.037;1.964;1.542
Kazakhstan;KAZ;2.492;1.781;1.805
Kenya;KEN;2.599;1.794;2.345
Kosovo;KSV;2.266;1.575;1.805
Kuwait;KWT;1.762;2.184;1.431
Kyrgyz Republic;KGZ;2.282;1.671;2.006
Laos;LAO;2.076;1.949;1.403
Latvia;LVA;1.798;1.479;1.634
Lebanon;LBN;2.748;2.317;2.701
Lesotho;LSO;2.528;1.748;1.805
Liberia;LBR;2.491;1.804;1.462
Libya;LBY;3.093;2.433;3.16
Lithuania;LTU;1.775;1.735;1.638
Madagascar;MDG;2.612;1.444;1.63
Malawi;MWI;2.144;1.723;1.739
Malaysia;MYS;1.973;1.205;1.015
Mali;MLI;3.589;1.873;2.861
Mauritania;MRT;2.782;1.969;1.638
Mauritius;MUS;2.132;1.373;1
Mexico;MEX;3.158;1.736;2.642
Moldova;MDA;2.142;1.243;2.006
Mongolia;MNG;2.459;1.348;1.201
Montenegro;MNE;2.243;1.602;1.403
Morocco;MAR;2.158;1.752;1.891
Mozambique;MOZ;2.803;1.677;2.215
Myanmar;MMR;3.116;1.744;2.7
Namibia;NAM;2.569;1.755;1.201
Nepal;NPL;2.493;1.706;1.436
Netherlands;NLD;1.525;2.206;1.045
New Zealand;NZL;1.53;1.168;1.008
Nicaragua;NIC;2.966;1.723;2.006
Niger;NER;2.957;1.957;2.839
Nigeria;NGA;3.107;2.059;2.806
North Korea;PRK;3.113;3.12;2.61
North Macedonia;MKD;1.928;1.771;1.403
Norway;NOR;1.266;2.184;1.235
Oman;OMN;1.892;2.651;1.403
Pakistan;PAK;2.653;2.581;3.172
Palestine;PSE;2.95;1.991;2.612
Panama;PAN;2.524;1.547;1.403
Papua New Guinea;PNG;2.802;1.697;1.605
Paraguay;PRY;2.534;2.004;1.403
Peru;PER;2.625;1.938;1.42
Philippines;PHL;2.855;1.7;2.41
Poland;POL;1.933;1.527;1.403
Portugal;PRT;1.39;1.312;1.007
Qatar;QAT;1.495;2.196;1.246
Republic of the Congo;COG;2.903;2.194;1.62
Romania;ROU;1.837;1.773;1.007
Russia;RUS;2.912;3.234;2.844
Rwanda;RWA;2.374;1.512;1.858
Saudi Arabia;SAU;2.254;2.614;2.425
Senegal;SEN;2.337;1.701;1.418
Serbia;SRB;1.976;1.796;1.604
Sierra Leone;SLE;2.313;1.605;1.413
Singapore;SGP;1.238;1.943;1
Slovakia;SVK;1.835;1.274;1.403
Slovenia;SVN;1.407;1.129;1.403
Somalia;SOM;3.624;2.155;3.474
South Africa;ZAF;3.234;1.758;1.613
South Korea;KOR;1.591;2.37;1.805
South Sudan;SSD;3.957;2.594;3.267
Spain;ESP;1.808;1.898;1.218
